City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,penzance,50.1186,-5.5371,13.38,87,100,12.62,GB,1729812524
83,brookings,44.3114,-96.7984,10.66,92,100,3.09,US,1729812525
84,whitehorse,60.7161,-135.0538,-1.06,92,75,3.09,CA,1729812526
85,isiro,2.7739,27.616,19.37,99,66,0.81,CD,1729812528
86,lorengau,-2.0226,147.2712,28.68,77,96,2.88,PG,1729812530
87,casas grandes,30.3667,-107.95,29.93,13,0,6.71,MX,1729812531
88,ushuaia,-54.8,-68.3,3.81,75,75,11.83,AR,1729812532
89,tolanaro,-25.0319,46.9987,22.04,83,20,9.26,MG,1729812533
90,umunede,6.2637,6.3116,22.61,99,100,1.9,NG,1729812534
91,simanggang,1.2472,111.4528,25.01,94,97,0.0,MY,1729812535
92,constantia,44.1833,28.65,6.38,65,56,3.42,RO,1729812531
93,bundaberg,-24.85,152.35,25.02,65,17,4.37,AU,1729812538
94,thompson,55.7435,-97.8558,3.09,87,100,1.54,CA,1729812540
95,kalmunai,7.4167,81.8167,25.35,87,56,3.31,LK,1729812542
96,al jawf,29.5,38.75,12.63,25,0,4.68,SA,1729812543
97,wailua homesteads,22.0669,-159.378,27.7,77,0,4.12,US,1729812544
98,hermanus,-34.4187,19.2345,12.11,82,0,2.1,ZA,1729812545
99,weno,7.4515,151.8468,29.97,84,100,5.66,FM,1729812546
100,utrik,11.2278,169.8474,28.54,76,100,4.34,MH,1729812547
101,ilulissat,69.2167,-51.1,0.01,74,100,8.23,GL,1729812549
102,guanica,17.9716,-66.908,29.43,67,93,2.92,PR,1729812550
103,stanley,54.868,-1.6985,8.06,98,20,1.03,GB,1729812551
104,ghat,24.9647,10.1728,25.0,23,1,3.36,LY,1729812552
105,ebaye,8.7748,167.7392,30.01,74,40,4.63,MH,1729812553
106,new norfolk,-42.7826,147.0587,9.84,46,15,2.54,AU,1729812555
107,avarua,-21.2078,-159.775,24.03,69,40,8.75,CK,1729812556
108,arraial do cabo,-22.9661,-42.0278,23.9,88,35,11.95,BR,1729812557
109,venice,27.0998,-82.4543,25.59,74,39,3.83,US,1729812558
110,las veredas,23.1388,-109.7075,31.25,40,0,5.14,MX,1729812559
111,faya-largeau,17.9257,19.1043,25.34,20,2,10.28,TD,1729812560
112,mar del plata,-38.0023,-57.5575,14.93,90,0,2.57,AR,1729812286
113,barabai,-2.5833,115.3833,24.68,83,89,0.36,ID,1729812563
114,saint-philippe,-21.3585,55.7679,22.31,88,78,5.82,RE,1729812564
115,port elizabeth,-33.918,25.5701,16.84,86,20,7.2,ZA,1729812565
116,miri,4.4148,114.0089,26.08,100,40,1.03,MY,1729812568
117,hithadhoo,-0.6,73.0833,27.96,71,79,4.43,MV,1729812569
118,banda aceh,5.5577,95.3222,26.68,79,93,4.32,ID,1729812570
119,pueblo,38.2545,-104.6091,21.97,27,0,13.38,US,1729812571
120,jiangyan,32.5061,120.1428,14.63,86,100,2.86,CN,1729812572
121,nizhnesortymskiy,62.4397,71.7603,3.82,97,100,2.38,RU,1729812574
122,vyazemskiy,47.5378,134.7525,2.94,76,3,2.69,RU,1729812575
123,rajin,42.2489,130.3003,10.05,80,0,0.95,KP,1729812576
124,carnarvon,-24.8667,113.6333,21.11,77,0,8.69,AU,1729812577
125,bilibino,68.0546,166.4372,-22.17,95,13,1.9,RU,1729812578
126,gilmer,32.7287,-94.9424,29.69,29,28,4.52,US,1729812554
127,cabedelo,-6.9811,-34.8339,26.37,73,77,5.94,BR,1729812581
128,vernon,50.2581,-119.2691,12.09,39,69,3.09,CA,1729812582
129,talnakh,69.4865,88.3972,-16.75,93,83,2.56,RU,1729812583
130,kapa'a,22.0752,-159.319,28.44,76,0,4.12,US,1729812584
131,cabo san lucas,22.8909,-109.9124,33.17,37,0,4.63,MX,1729812538
132,grytviken,-54.2811,-36.5092,1.41,91,100,9.95,GS,1729812586
133,malango,-2.9627,119.9001,20.58,91,100,0.48,ID,1729812588
134,muromtsevo,56.3724,75.2418,5.69,87,100,5.37,RU,1729812589
135,mazar-e sharif,36.709,67.1109,15.18,66,37,0.95,AF,1729812590
136,sao gabriel da cachoeira,-0.1303,-67.0892,27.97,65,56,1.26,BR,1729812591
137,tobruk,32.0836,23.9764,20.73,62,1,3.37,LY,1729812592
138,tiksi,71.6872,128.8694,-21.36,99,73,1.81,RU,1729812594
139,heroica ciudad de tlaxiaco,17.2667,-97.6833,17.53,85,76,1.8,MX,1729812596
140,carauari,-4.8828,-66.8958,24.19,96,100,1.29,BR,1729812597
141,el granada,37.5027,-122.4694,23.9,44,0,4.12,US,1729812598
142,lanzhou,36.0564,103.7922,12.5,45,100,4.48,CN,1729812600
143,dudinka,69.4058,86.1778,-17.06,94,77,2.97,RU,1729812452
144,fort st. john,56.2499,-120.8529,4.94,42,75,6.69,CA,1729812401
145,anadyr,64.75,177.4833,-8.72,78,20,3.0,RU,1729812604
146,santana,-0.0583,-51.1817,30.1,70,0,4.63,BR,1729812605
147,port alfred,-33.5906,26.891,16.77,86,96,2.68,ZA,1729812597
148,kataba,8.4604,-0.7732,25.94,83,81,2.75,GH,1729812607
149,nar'yan-mar,67.6713,53.087,1.19,80,72,5.48,RU,1729812608
